Size,Random_Comparisons,Random_Copies,Sorted_Comparisons,Sorted_Copies,Reverse_Comparisons,Reverse_Copies
1000,252598,752974,4932,9976,504432,1508476
2000,1002643,2997291,10864,21952,2009864,6018952
3000,2248630,6730311,16828,34904,4515328,13530404
4000,3984995,11931707,23728,47904,8021728,24041904
5000,6212819,18610854,29804,61808,12527304,37554308
10000,24734030,74141882,64608,133616,50059608,150118616
25000,154920390,464592135,178756,367232,312666256,937829732
50000,619443965,1857968824,382512,784464,1250357512,3750709464
100000,2476719160,7429381338,815024,1668928,5000765024,15001518928
